country_name,country_code,series_name,series_code,2014,2015,2016,2017,2018
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,5.288462,6.25,3.365385,3.846154,4.326923
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,8.173077,8.173077,9.615385,9.134615,7.692307
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,11.05769,14.42308,7.211538,6.730769,10.57692
Afghanistan,AFG,Rule of Law: Percentile Rank,RL.PER.RNK,4.326923,3.365385,5.769231,4.807693,4.326923
Afghanistan,AFG,Voice and Accountability: Percentile Rank,VA.PER.RNK,16.25616,18.71921,20.68966,22.16749,20.68966
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,34.61538,38.46154,40.86538,42.30769,35.09615
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,50,53.84615,52.88462,55.76923,57.69231
Albania,ALB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,60.09615,59.13462,60.57692,62.01923,63.46154
Albania,ALB,Rule of Law: Percentile Rank,RL.PER.RNK,43.26923,44.23077,41.82692,38.94231,39.42308
Albania,ALB,Voice and Accountability: Percentile Rank,VA.PER.RNK,50.2463,52.70936,52.21675,54.18719,53.20197
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,32.21154,29.80769,27.88461,30.28846,28.36539
Algeria,DZA,Government Effectiveness: Percentile Rank,GE.PER.RNK,35.09615,35.57692,35.57692,30.76923,37.01923
Algeria,DZA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,8.173077,10.57692,10.09615,10.57692,8.173077
Algeria,DZA,Rule of Law: Percentile Rank,RL.PER.RNK,24.03846,19.23077,18.75,19.23077,22.11539
Algeria,DZA,Voice and Accountability: Percentile Rank,VA.PER.RNK,25.12315,24.63054,23.64532,23.15271,21.67488
American Samoa,ASM,Control of Corruption: Percentile Rank,CC.PER.RNK,87.01923,87.01923,87.5,93.75,94.23077
American Samoa,ASM,Government Effectiveness: Percentile Rank,GE.PER.RNK,70.19231,70.19231,71.63461,71.15385,72.59615
American Samoa,ASM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,57.69231,58.65385,58.65385,42.78846,40.86538
American Samoa,ASM,Rule of Law: Percentile Rank,RL.PER.RNK,87.5,87.98077,87.98077,88.46154,87.98077
American Samoa,ASM,Voice and Accountability: Percentile Rank,VA.PER.RNK,..,..,..,..,..
Andorra,AND,Control of Corruption: Percentile Rank,CC.PER.RNK,87.01923,87.01923,87.5,86.53846,86.53846
Andorra,AND,Government Effectiveness: Percentile Rank,GE.PER.RNK,94.23077,95.67308,98.07692,98.55769,98.55769
Andorra,AND,Regulatory Quality: Percentile Rank,RQ.PER.RNK,77.88461,78.36539,78.36539,85.57692,85.09615
Andorra,AND,Rule of Law: Percentile Rank,RL.PER.RNK,90.38461,89.90385,90.86539,90.38461,90.86539
Andorra,AND,Voice and Accountability: Percentile Rank,VA.PER.RNK,87.68473,88.17734,87.19212,86.20689,83.25123
