File:,IHME_RETROSPECTIVE_FINANCING_1995_2015_Y2018M04D10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable:,year,location_id,location_name,iso3,level,the_total_mean,the_total_lower,the_total_upper,ghes_total_mean,ghes_total_lower,ghes_total_upper,ppp_total_mean,ppp_total_lower,ppp_total_upper,oop_total_mean,oop_total_lower,oop_total_upper,dah_total,the_per_cap_mean,the_per_cap_lower,the_per_cap_upper,ghes_per_cap_mean,ghes_per_cap_lower,ghes_per_cap_upper,ppp_per_cap_mean,ppp_per_cap_lower,ppp_per_cap_upper,oop_per_cap_mean,oop_per_cap_lower,oop_per_cap_upper,dah_per_cap,ghes_per_the_mean,ghes_per_the_lower,ghes_per_the_upper,ppp_per_the_mean,ppp_per_the_lower,ppp_per_the_upper,oop_per_the_mean,oop_per_the_lower,oop_per_the_upper,dah_per_the_mean,dah_per_the_lower,dah_per_the_upper,the_per_gdp_mean,the_per_gdp_lower,the_per_gdp_upper,ghes_per_gdp_mean,ghes_per_gdp_lower,ghes_per_gdp_upper,ppp_per_gdp_mean,ppp_per_gdp_lower,ppp_per_gdp_upper,oop_per_gdp_mean,oop_per_gdp_lower,oop_per_gdp_upper,dah_per_gdp
Label:,Year,Location ID,Location Name,ISO 3-digit Code,Location Category,Total Health Spending (thousands of 2017 purchasing power parity adjusted US Dollars),"Total Health Spending, Lower UI (thousands of 2017 purchasing power parity adjusted US Dollars)","Total Health Spending, Upper UI (thousands of 2017 purchasing power parity adjusted US Dollars)",Government Spending (thousands of 2017 purchasing power parity adjusted US Dollars),"Government Spending, Lower UI (thousands of 2017 purchasing power parity adjusted US Dollars)","Government Spending, Upper UI (thousands of 2017 purchasing power parity adjusted US Dollars)",Prepaid Private Spending (thousands of 2017 purchasing power parity adjusted US Dollars),"Prepaid Private Spending, Lower UI (thousands of 2017 purchasing power parity adjusted US Dollars)","Prepaid Private Spending, Upper UI (thousands of 2017 purchasing power parity adjusted US Dollars)",Out-of-Pocket Spending (thousands of 2017 purchasing power parity adjusted US Dollars),"Out-of-Pocket Spending, Lower UI (thousands of 2017 purchasing power parity adjusted US Dollars)","Out-of-Pocket Spending, Upper UI (thousands of 2017 purchasing power parity adjusted US Dollars)",Development Assistance for Health (thousands of 2017 purchasing power parity adjusted US Dollars),Total Health Spending per Capita (2017 purchasing power parity adjusted US Dollars),"Total Health Spending per Capita, Lower UI (2017 purchasing power parity adjusted US Dollars)","Total Health Spending per Capita, Upper UI (2017 purchasing power parity adjusted US Dollars)",Government Spending per Capita (2017 purchasing power parity adjusted US Dollars),"Government Spending per Capita, Lower UI (2017 purchasing power parity adjusted US Dollars)","Government Spending per Capita, Upper UI (2017 purchasing power parity adjusted US Dollars)",Prepaid Private Spending per Capita (2017 purchasing power parity adjusted US Dollars),"Prepaid Private Spending per Capita, Lower UI (2017 purchasing power parity adjusted US Dollars)","Prepaid Private Spending per Capita, Upper UI (2017 purchasing power parity adjusted US Dollars)",Out-of-Pocket Spending per Capita (2017 purchasing power parity adjusted US Dollars),"Out-of-Pocket Spending per Capita, Lower UI (2017 purchasing power parity adjusted US Dollars)","Out-of-Pocket Spending per Capita, Upper UI (2017 purchasing power parity adjusted US Dollars)",Development Assistance for Health Spending per Capita (2017 purchasing power parity adjusted US Dollars),Government Spending per Total Health Spending,"Government Spending per Total Health Spending, Lower UI","Government Spending per Total Health Spending, Upper UI",Prepaid Private Spending per Total Health Spending,"Prepaid Private Spending per Total Health Spending, Lower UI","Prepaid Private Spending per Total Health Spending, Upper UI",Out-of-Pocket Spending per Total Health Spending,"Out-of-Pocket Spending per Total Health Spending, Lower UI","Out-of-Pocket Spending per Total Health Spending, Upper UI",Development Assistance for Health per Total Health Spending,"Development Assistance for Health per Total Health Spending, Lower UI","Development Assistance for Health per Total Health Spending, Upper UI",Total Health Spending per Gross Domestic Product,"Total Health Spending per Gross Domestic Product, Lower UI","Total Health Spending per Gross Domestic Product, Upper UI",Government Spending per Gross Domestic Product,"Government Spending per Gross Domestic Product, Lower UI","Government Spending per Gross Domestic Product, Upper UI",Prepaid Private Spending per Gross Domestic Product,"Prepaid Private Spending per Gross Domestic Product, Lower UI","Prepaid Private Spending per Gross Domestic Product, Upper UI",Out-of-Pocket Spending per Gross Domestic Product,"Out-of-Pocket Spending per Gross Domestic Product, Lower UI","Out-of-Pocket Spending per Gross Domestic Product, Upper UI",Development Assistance for Health per Gross Domestic Product
Value Coding:,1995,160,Afghanistan,AFG,Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,43,Albania,ALB,GBD Super Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,139,Algeria,DZA,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,74,Andorra,AND,World Bank Income Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,168,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,105,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,97,Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,33,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,71,Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
