Cargo Type,Port ID,Port Profile Name,Reporting Year,Trade Type,Units,Percent Change,Volume
CONTAINER (PORT),4110,Port of Long Beach,2015,DOMESTIC,Container TEUs,0,
CONTAINER (PORT),4110,Port of Long Beach,2015,EMPTY,Container TEUs,0,"2,041,243"
CONTAINER (PORT),4110,Port of Long Beach,2015,EXPORTS,Container TEUs,0,"1,525,560"
CONTAINER (PORT),4110,Port of Long Beach,2015,IMPORTS,Container TEUs,0,"3,625,263"
CONTAINER (PORT),4110,Port of Long Beach,2015,RESTOW,Container TEUs,0,
CONTAINER (PORT),4110,Port of Long Beach,2015,TOTAL,Container TEUs,0,"7,192,066"
CONTAINER (PORT),4110,Port of Long Beach,2015,TRANSHIPMENT,Container TEUs,0,
CONTAINER (PORT),4110,Port of Long Beach,2016,DOMESTIC,Container TEUs,0,
CONTAINER (PORT),4110,Port of Long Beach,2016,EMPTY,Container TEUs,-11.66666585,"1,803,098"
CONTAINER (PORT),4110,Port of Long Beach,2016,EXPORTS,Container TEUs,0.258200267,"1,529,499"
CONTAINER (PORT),4110,Port of Long Beach,2016,IMPORTS,Container TEUs,-5.039275771,"3,442,576"
CONTAINER (PORT),4110,Port of Long Beach,2016,RESTOW,Container TEUs,0,
CONTAINER (PORT),4110,Port of Long Beach,2016,TOTAL,Container TEUs,-5.796568052,"6,775,173"
CONTAINER (PORT),4110,Port of Long Beach,2016,TRANSHIPMENT,Container TEUs,0,
CONTAINER (PORT),4110,Port of Long Beach,2017,DOMESTIC,Container TEUs,0,
CONTAINER (PORT),4110,Port of Long Beach,2017,EMPTY,Container TEUs,22.61152749,"2,210,806"
CONTAINER (PORT),4110,Port of Long Beach,2017,EXPORTS,Container TEUs,-3.85649157,"1,470,514"
CONTAINER (PORT),4110,Port of Long Beach,2017,IMPORTS,Container TEUs,12.21791472,"3,863,187"
CONTAINER (PORT),4110,Port of Long Beach,2017,RESTOW,Container TEUs,0,
CONTAINER (PORT),4110,Port of Long Beach,2017,TOTAL,Container TEUs,11.35519344,"7,544,507"
CONTAINER (PORT),4110,Port of Long Beach,2017,TRANSHIPMENT,Container TEUs,0,
CONTAINER (PORT),4110,Port of Long Beach,2018,EMPTY,Container TEUs,11.75281775,"2,470,638"
CONTAINER (PORT),4110,Port of Long Beach,2018,EXPORTS,Container TEUs,3.569772202,"1,523,008"
CONTAINER (PORT),4110,Port of Long Beach,2018,IMPORTS,Container TEUs,6.062093292,"4,097,377"
CONTAINER (PORT),4110,Port of Long Beach,2018,RESTOW,Container TEUs,0,
CONTAINER (PORT),4110,Port of Long Beach,2018,TOTAL,Container TEUs,7.243892808,"8,091,023"
CONTAINER (PORT),4110,Port of Long Beach,2018,TRANSHIPMENT,Container TEUs,0,
CONTAINER (PORT),4120,Port of Los Angeles,2015,DOMESTIC,Container TEUs,0,
CONTAINER (PORT),4120,Port of Los Angeles,2015,EMPTY,Container TEUs,0,"2,344,319"
CONTAINER (PORT),4120,Port of Los Angeles,2015,EXPORTS,Container TEUs,0,"1,656,677"
CONTAINER (PORT),4120,Port of Los Angeles,2015,IMPORTS,Container TEUs,0,"4,159,462"
CONTAINER (PORT),4120,Port of Los Angeles,2015,RESTOW,Container TEUs,0,
CONTAINER (PORT),4120,Port of Los Angeles,2015,TOTAL,Container TEUs,0,"8,160,458"
CONTAINER (PORT),4120,Port of Los Angeles,2015,TRANSHIPMENT,Container TEUs,0,
CONTAINER (PORT),4120,Port of Los Angeles,2016,DOMESTIC,Container TEUs,0,
