location_id,location_name,iso3,year,the_total_mean,ghes_total_mean,ppp_total_mean,oop_total_mean,dah_per_cap_mean,the_per_cap_mean,ghes_per_cap_mean,ppp_per_cap_mean,oop_per_cap_mean,the_per_gdp_mean,ghes_per_gdp_mean,ppp_per_gdp_mean,oop_per_gdp_mean
160,Afghanistan,AFG,1995,1656826,40878,18859,1579290,1,103,3,1,98,0.120,0.003,0.001,0.114
160,Afghanistan,AFG,1996,1650986,41163,17904,1566611,2,98,2,1,93,0.118,0.003,0.001,0.112
160,Afghanistan,AFG,1997,1658211,41561,16559,1550540,3,96,2,1,89,0.117,0.003,0.001,0.110
160,Afghanistan,AFG,1998,1603968,42277,15224,1524959,1,90,2,1,86,0.113,0.003,0.001,0.107
160,Afghanistan,AFG,1999,1620047,43331,14303,1518470,2,88,2,1,83,0.113,0.003,0.001,0.106
160,Afghanistan,AFG,2000,1627402,44286,14044,1536625,2,86,2,1,81,0.115,0.003,0.001,0.108
160,Afghanistan,AFG,2001,1682159,44686,13941,1571316,3,86,2,1,80,0.125,0.003,0.001,0.117
160,Afghanistan,AFG,2002,1744697,60100,11153,1521709,7,85,3,1,74,0.091,0.003,0.001,0.080
160,Afghanistan,AFG,2003,1906676,80123,11182,1612296,9,88,4,1,75,0.091,0.004,0.001,0.078
160,Afghanistan,AFG,2004,2338163,91964,11856,1742303,22,104,4,1,77,0.110,0.004,0.001,0.083
160,Afghanistan,AFG,2005,2591302,108293,11691,1849596,26,110,5,0,79,0.108,0.005,0.000,0.078
160,Afghanistan,AFG,2006,2780360,123533,13091,2023046,26,114,5,1,83,0.110,0.005,0.001,0.081
160,Afghanistan,AFG,2007,3060516,147080,13954,2167967,29,122,6,1,87,0.106,0.005,0.000,0.076
160,Afghanistan,AFG,2008,3182811,161995,16222,2344185,26,124,6,1,91,0.106,0.005,0.001,0.079
160,Afghanistan,AFG,2009,3585960,193786,17167,2462595,35,136,7,1,93,0.098,0.005,0.000,0.069
160,Afghanistan,AFG,2010,3766255,213980,20837,2601426,34,139,8,1,96,0.095,0.005,0.001,0.067
160,Afghanistan,AFG,2011,4056906,226980,22977,2678632,40,145,8,1,95,0.096,0.005,0.001,0.064
160,Afghanistan,AFG,2012,4132027,252718,25446,2843539,35,142,9,1,98,0.085,0.005,0.001,0.059
160,Afghanistan,AFG,2013,4566470,271163,29935,3200531,35,151,9,1,106,0.090,0.005,0.001,0.064
160,Afghanistan,AFG,2014,4912945,288204,33933,3667070,30,157,9,1,117,0.094,0.006,0.001,0.071
160,Afghanistan,AFG,2015,5423335,304307,37661,4157187,29,168,9,1,129,0.102,0.006,0.001,0.079
160,Afghanistan,AFG,2017,1927470,105485,6523,1642385,5,56,3,0,47,.074,.004,0,.063
160,Afghanistan,AFG,2018,2008457,111513,6891,1724964,5,56,3,0,48,.074,.004,0,.064
160,Afghanistan,AFG,2019,2103258,117756,7256,1810297,5,57,3,0,49,.074,.004,0,.064
160,Afghanistan,AFG,2020,2202208,124231,7642,1898494,4,58,3,0,50,.074,.004,0,.064
160,Afghanistan,AFG,2021,2307087,131225,8061,1991916,4,58,3,0,50,.074,.004,0,.064
160,Afghanistan,AFG,2022,2419187,138836,8517,2091759,4,59,3,0,51,.074,.004,0,.064
160,Afghanistan,AFG,2023,2538518,146818,8998,2198692,4,60,3,0,52,.075,.004,0,.065
160,Afghanistan,AFG,2024,2667936,155092,9499,2314545,4,62,4,0,53,.075,.004,0,.065
160,Afghanistan,AFG,2025,2808458,163879,10033,2440667,4,63,4,0,55,.075,.004,0,.065
160,Afghanistan,AFG,2026,2955583,173044,10586,2572476,4,64,4,0,56,.076,.004,0,.066
160,Afghanistan,AFG,2027,3109021,182517,11164,2709946,4,66,4,0,57,.076,.004,0,.066
160,Afghanistan,AFG,2028,3265293,192182,11755,2849683,4,67,4,0,58,.076,.004,0,.067
160,Afghanistan,AFG,2029,3425343,201938,12355,2992824,4,68,4,0,60,.077,.005,0,.067
160,Afghanistan,AFG,2030,3586581,211713,12956,3137179,4,70,4,0,61,.077,.005,0,.068
160,Afghanistan,AFG,2031,3752351,221883,13579,3285444,4,71,4,0,62,.078,.005,0,.068
160,Afghanistan,AFG,2032,3921966,232239,14216,3437015,4,72,4,0,63,.078,.005,0,.068
160,Afghanistan,AFG,2033,4094482,242753,14863,3591045,4,74,4,0,65,.079,.005,0,.069
160,Afghanistan,AFG,2034,4272342,253661,15539,3749459,4,75,4,0,66,.079,.005,0,.069
160,Afghanistan,AFG,2035,4455366,264985,16245,3912580,4,77,5,0,67,.079,.005,0,.07
160,Afghanistan,AFG,2036,4639158,276312,16946,4076325,5,78,5,0,69,.08,.005,0,.07
160,Afghanistan,AFG,2037,4824253,287635,17655,4241455,5,79,5,0,70,.08,.005,0,.071
160,Afghanistan,AFG,2038,5016628,299694,18404,4412577,5,81,5,0,71,.081,.005,0,.071
160,Afghanistan,AFG,2039,5211083,311858,19164,4585871,5,82,5,0,72,.081,.005,0,.071
160,Afghanistan,AFG,2040,5409260,324399,19939,4761751,5,84,5,0,74,.082,.005,0,.072
160,Afghanistan,AFG,2041,5606226,336605,20693,4936290,5,85,5,0,75,.082,.005,0,.072
